3.40.50.150	3.382737	2.823474	3.950754	3.207096	2.033424	3.667266	3.021603	2.434569
3.40.50.150	3.556061	2.932981	4.220997	3.510679	2.352183	3.892540	3.215902	2.534026
3.40.50.150	3.573452	2.936011	4.228375	3.530200	2.372912	3.903144	3.208979	2.503791
3.40.50.150	3.758988	3.143639	4.436656	3.699317	2.413300	4.126716	3.449941	2.773786
3.40.50.150	3.698970	3.064832	4.361218	3.649237	2.518514	4.035190	3.345178	2.673942
3.40.50.150	3.358125	2.758912	3.988737	3.316180	2.127105	3.687083	3.001301	2.369216
3.40.50.150	3.595386	2.988559	4.269349	3.531096	2.359835	3.959614	3.285782	2.618048
3.40.50.150	3.548635	2.916980	4.206367	3.504063	2.330414	3.885926	3.196729	2.503791
3.40.50.150	3.695219	3.075547	4.359987	3.646796	2.436163	4.042812	3.355260	2.679428
3.40.50.150	3.527501	2.921686	4.194986	3.484157	2.235528	3.885418	3.205204	2.561101
3.40.50.150	3.559068	2.954243	4.196839	3.448706	2.271842	3.864214	3.193959	2.553883
3.40.50.150	3.486147	2.886491	4.114911	3.388101	2.232996	3.815578	3.138618	2.489958
3.40.50.150	3.623766	3.052309	4.273580	3.533645	2.326336	3.980821	3.334051	2.710963
3.40.50.150	3.645717	3.069298	4.294356	3.551694	2.352183	3.995767	3.341830	2.716003
3.40.50.150	3.606489	2.974972	4.268929	3.562055	2.380211	3.946551	3.256237	2.556303
3.40.50.150	3.438542	2.867467	4.064008	3.326745	2.049218	3.789016	3.136403	2.488551
3.40.50.150	3.617525	3.022016	4.276025	3.535167	2.305351	3.963835	3.301681	2.649335
3.40.50.150	3.338656	2.779596	3.955832	3.211921	2.041393	3.660865	3.024896	2.421604
3.40.50.150	3.482016	2.887617	4.123688	3.409257	2.167317	3.822560	3.148294	2.509203
3.40.50.150	3.523096	2.930949	4.172895	3.458184	2.287802	3.882240	3.215109	2.575188
3.40.50.150	3.620864	3.000434	4.286614	3.558589	2.365488	3.968390	3.282169	2.597695
3.40.50.150	3.670431	3.042576	4.337419	3.632457	2.421604	4.002598	3.319314	2.652246
3.40.50.150	3.448861	2.842609	4.087071	3.361539	2.170262	3.779669	3.109579	2.457882
3.40.50.150	3.619511	3.031004	4.272839	3.516403	2.326336	3.964354	3.297323	2.683947
3.40.50.150	3.655138	3.014940	4.338237	3.626238	2.471292	4.007833	3.314920	2.597695
3.40.50.150	3.536306	2.910091	4.193570	3.473779	2.342423	3.874656	3.205204	2.489958
3.40.50.150	3.625210	3.006038	4.295479	3.585348	2.399674	3.980185	3.284205	2.624282
3.40.50.150	3.741860	3.135769	4.420550	3.700098	2.503791	4.106497	3.419460	2.783189
3.40.50.150	3.524266	2.934498	4.177796	3.438859	2.238046	3.869408	3.190051	2.585461
3.40.50.150	3.764101	3.162266	4.442103	3.711976	2.487138	4.135133	3.467016	2.814913
