2.160.10	2205	610	553	769	
2.160.10	2152	627	558	689	
2.160.10	2061	580	501	808	
2.160.10	1351	391	317	495	
2.160.10	2014	559	502	761	
2.160.10	2309	695	649	849	
2.160.10	2283	681	640	834	
2.160.10	1042	331	262	368	
2.160.10	1257	433	367	416	
2.160.10	2096	629	574	747	
2.160.10	2068	593	537	745	
2.160.10	2244	659	587	736	
2.160.10	2382	642	553	823	
2.160.10	2102	592	545	773	
2.160.10	1867	615	571	681	
2.160.10	2340	625	534	833	
2.160.10	2095	546	560	768	
2.160.10	1225	344	344	419	
2.160.10	1802	483	422	657	
2.160.10	1876	547	511	698	
2.160.10	1486	404	383	486	
2.160.10	2062	535	588	797	
2.160.10	2111	593	573	783	
2.160.10	1793	491	531	644	
2.160.10	1620	509	478	573	
2.160.10	2202	639	555	823	
2.160.10	1334	433	389	456	
2.160.10	2115	597	548	783	
2.160.10	2189	643	561	708	
2.160.10	1055	326	277	371	
2.160.10	1956	562	472	763	
2.160.10	2159	623	584	727	
2.160.10	2122	606	563	798	
2.160.10	1694	448	476	633	
2.160.20	4329	1403	1431	1489	
2.160.20	4096	1214	1353	1372	
2.160.20	5679	1817	2032	1904	
2.160.20	2934	863	809	1057	
2.160.20	2359	751	751	830	
2.160.20	3290	1108	1052	1142	
2.160.20	5119	1792	1850	1836	
2.160.20	987	268	310	363	
2.160.20	4095	1208	1319	1404	
2.160.20	3726	1140	1216	1246	
2.160.20	4139	1404	1412	1428	
2.160.20	1427	408	428	535	
2.160.20	4018	1231	1323	1338	
2.160.20	1487	398	445	578	
2.160.20	3773	1120	1270	1238	
2.160.20	4197	1370	1441	1529	
2.160.20	3186	904	888	1084	
2.160.20	6074	2011	1968	2103	
2.160.20	4337	1557	1475	1466	
2.160.20	4164	1479	1433	1552	
2.160.20	4188	1403	1396	1439	
2.160.20	4252	1402	1371	1480	
2.160.20	4984	1606	1709	1695	
2.160.20	5324	1852	1786	1859	
2.160.20	3175	974	1107	1058	
2.160.20	5207	1799	1765	1922	
2.160.20	3857	1335	1238	1414	
2.160.20	1446	386	414	505	
2.160.20	4033	1212	1315	1330	
2.160.20	3854	1368	1256	1403	
2.160.20	5090	1800	1731	1876	
2.160.20	4052	1341	1430	1420	
2.160.20	5909	1796	1851	2083	
2.160.20	6112	1807	1911	2175	
2.160.20	4413	1529	1495	1493	
2.160.20	2472	796	851	871	
