2.160.10	0.788319	0.645067	0.928627	0.764396	0.532731	0.855607	0.714275	0.522148	
2.160.10	0.789698	0.636255	0.930525	0.77273	0.554204	0.848798	0.703228	0.490906	
2.160.10	0.788386	0.655522	0.925373	0.757942	0.524412	0.85598	0.718034	0.557748	
2.160.10	0.776883	0.631912	0.922356	0.756906	0.49636	0.85195	0.703098	0.51544	
2.160.10	0.785444	0.648974	0.926753	0.762791	0.524317	0.855975	0.712096	0.551413	
2.160.10	0.788812	0.648585	0.930521	0.765757	0.535054	0.855973	0.712655	0.538314	
2.160.10	0.788615	0.647779	0.930467	0.766728	0.530494	0.855331	0.712423	0.535433	
2.160.10	0.775036	0.619064	0.920915	0.7512	0.510601	0.843486	0.694461	0.47584	
2.160.10	0.778049	0.615249	0.926006	0.768932	0.534549	0.842529	0.688113	0.465468	
2.160.10	0.784039	0.640399	0.930769	0.767931	0.536255	0.854434	0.711034	0.528351	
2.160.10	0.785132	0.643501	0.929972	0.762038	0.53792	0.853637	0.712869	0.533578	
2.160.10	0.789286	0.638804	0.930997	0.773518	0.551197	0.851139	0.703205	0.502422	
2.160.10	0.791779	0.649692	0.929076	0.769222	0.548308	0.85222	0.710519	0.531133	
2.160.10	0.786028	0.646803	0.927885	0.767103	0.534946	0.855596	0.711207	0.545468	
2.160.10	0.785444	0.638698	0.929477	0.764392	0.530151	0.853003	0.704296	0.518131	
2.160.10	0.791952	0.652759	0.927501	0.763067	0.536227	0.855085	0.714644	0.536227	
2.160.10	0.788594	0.64923	0.927447	0.767795	0.521481	0.853498	0.705292	0.543657	
2.160.10	0.778614	0.622344	0.924288	0.752951	0.537309	0.842495	0.69832	0.475509	
2.160.10	0.783278	0.643076	0.926968	0.757322	0.530366	0.85248	0.707379	0.534955	
2.160.10	0.786351	0.645043	0.927541	0.760743	0.519312	0.852701	0.708545	0.524717	
2.160.10	0.783395	0.627205	0.926193	0.75777	0.530734	0.845411	0.69578	0.475487	
2.160.10	0.788202	0.652927	0.925806	0.761613	0.519168	0.857407	0.712221	0.546674	
2.160.10	0.788966	0.649537	0.926719	0.768678	0.532936	0.855641	0.705068	0.54382	
2.160.10	0.787031	0.640999	0.926969	0.760982	0.536649	0.850213	0.706399	0.513987	
