2.160.10	0.665255	0.544366	0.783659	0.645066	0.449566	0.722039	0.60277	0.440635	0.900044	0.848422	0.544685	0.802593	0.839292	0.696405	0.472959	0.64356	0.705548	0.643939	0.74699	0.170315	0.576433	0.438339	0.614006	0.663287	0.427124	0.566669	0.423948	0.43188	0.196397	
2.160.10	0.666093	0.536667	0.784878	0.651781	0.467459	0.715942	0.593157	0.414069	0.901363	0.855292	0.558845	0.798827	0.833222	0.699612	0.479759	0.662704	0.699333	0.630472	0.738936	0.189044	0.584792	0.4443	0.586949	0.650512	0.450984	0.542743	0.417187	0.383642	0.159761	
2.160.10	0.666454	0.554138	0.782255	0.640718	0.443306	0.723594	0.606983	0.471486	0.896224	0.844053	0.54228	0.79876	0.840169	0.691833	0.455279	0.637307	0.702423	0.645569	0.748731	0.212273	0.562868	0.426482	0.629416	0.663669	0.41845	0.578812	0.400901	0.47259	0.313176	
2.160.10	0.650243	0.528904	0.772003	0.633523	0.415449	0.713074	0.588486	0.431418	0.890302	0.845764	0.556788	0.79742	0.833571	0.696622	0.425846	0.624562	0.698802	0.636734	0.736929	0.230771	0.555415	0.396595	0.608958	0.65341	0.370165	0.554656	0.391581	0.440612	0.18724	
2.160.10	0.661423	0.546502	0.780419	0.642347	0.441528	0.720817	0.599657	0.464345	0.896678	0.848942	0.548846	0.801505	0.841456	0.700919	0.459827	0.639845	0.701645	0.64675	0.74547	0.189629	0.571161	0.420997	0.630614	0.656428	0.409858	0.573918	0.400229	0.464929	0.30583	
2.160.10	0.665258	0.546996	0.78477	0.645814	0.451247	0.721899	0.60103	0.453996	0.901851	0.851801	0.547281	0.805633	0.842306	0.696856	0.474809	0.642415	0.704769	0.645673	0.746281	0.194454	0.579366	0.433229	0.620573	0.657728	0.422012	0.568565	0.42421	0.446117	0.273066	
2.160.10	0.664969	0.546214	0.78458	0.646513	0.447319	0.721225	0.600723	0.451483	0.901676	0.852572	0.55275	0.804764	0.841986	0.697476	0.47654	0.639675	0.704248	0.643957	0.745543	0.178397	0.575183	0.435675	0.617214	0.657989	0.416507	0.566272	0.421627	0.444645	0.261347	
2.160.10	0.648199	0.517752	0.770204	0.628264	0.42704	0.705447	0.58081	0.397967	0.888856	0.840132	0.523272	0.788672	0.825539	0.681547	0.458683	0.626155	0.6914	0.618983	0.731285	0.156948	0.556911	0.418624	0.581501	0.644648	0.402507	0.536679	0.410128	0.384929	0.121432	
2.160.10	0.650235	0.514179	0.773886	0.642616	0.446736	0.704123	0.575073	0.389004	0.894097	0.853367	0.56432	0.792161	0.826044	0.695468	0.46989	0.655339	0.694538	0.618188	0.728592	0.241465	0.571603	0.42415	0.576167	0.63915	0.427605	0.525457	0.395825	0.370208	0.118149	
2.160.10	0.658293	0.53769	0.78149	0.644769	0.45025	0.717398	0.596997	0.443613	0.90141	0.853725	0.557541	0.80549	0.841339	0.70033	0.47169	0.647598	0.706531	0.641898	0.747082	0.187094	0.580126	0.435626	0.613564	0.660119	0.419659	0.563842	0.421948	0.439354	0.261546	
2.160.10	0.66043	0.541294	0.782265	0.641004	0.452482	0.718054	0.599644	0.44883	0.901215	0.849555	0.537131	0.802001	0.840971	0.694686	0.471002	0.648588	0.701868	0.638968	0.747538	0.188424	0.576781	0.43519	0.615482	0.66002	0.432333	0.564119	0.423109	0.450177	0.266615	
