2.60.120.10	96.559	-83.822	-56.63	130.7	13.973	110.11	-40.987	-15.955	68.365	-17.563	7.4658	7.6243	16.269	42.813	34.9	-25.639	-44.21	-35.912	-13.683	-31.636	18.609	26.012	26.242	20.273	39.239	-19.099	5.8147	-20.392	19.934	-16.305	-29.334
2.60.120.10	95.804	-85.073	-47.02	132.73	25.043	120.65	-72.385	-30.406	84.44	-20.47	15.102	-23.232	2.0069	43.945	55.467	-7.3253	-52.974	-10.104	2.1828	-23.175	-29.508	14.963	31.43	13.665	21.332	-25.22	19.347	-10.911	-5.1302	-5.0799	-22.226
2.60.120.10	100.16	-75.552	-51.973	129.58	12.955	110.45	-47.484	-22.495	76.853	-15.426	2.3923	-14.575	5.4309	37.314	39.104	-10.334	-39.913	-13.506	-8.2911	-22.155	-18.145	12.719	28.905	9.7291	19.02	-19.215	10.479	-10.309	15.658	-9.6428	-20.322
2.60.120.10	107.5	-85.605	-45.363	138.94	22.908	118.69	-57.746	-21.133	100.25	-16.71	23.448	-12.093	-0.69816	29.064	22.674	-8.2469	-28.273	-15.582	10.255	-21.527	-0.30314	12.784	18.764	-4.301	12.888	1.6709	10.748	-15.103	9.9982	-1.4467	-9.3336
2.60.120.10	108.5	-81.844	-72.628	167.66	43.273	135.18	-75.728	-8.6451	112.19	7.4639	30.327	-12.944	36.564	11.921	1.3912	-10.054	-1.4284	3.4806	4.3665	6.2089	-13.76	11.336	-17.485	-7.8704	-1.2033	2.8801	16.176	-12.834	30.016	-5.0538	4.4069
2.60.120.10	108.5	-82.855	-73.132	167.68	43.129	134.52	-80.906	-10.348	112.32	1.4895	30.86	-20.693	47.104	17.811	6.6224	-14.409	-5.6161	6.9036	6.2532	-4.9458	-23.072	17.034	-15.463	-1.243	6.5416	1.7219	18.648	-21.741	30.895	-5.3738	9.1702
2.60.120.10	91.006	-44.633	-7.0036	123.53	9.2529	113.6	-42.052	-25.116	83.081	-24.785	35.586	-23.465	-9.9082	16.071	16.213	10.202	-3.766	10.556	-5.4569	-16.129	-17.102	-0.89941	11.405	6.5584	3.8824	-13.447	12.683	5.7444	8.2353	5.5173	-11.446
2.60.120.10	97.055	-56.568	-49.588	126.84	16.531	117.63	-43.915	-2.2707	72.473	-7.2803	8.8752	24.209	18.603	33.192	19.568	-29.806	-29.264	-36.522	2.8554	-28.96	25.511	17.845	27.412	17.042	38.073	-6.065	-0.6997	-12.313	-13.826	-13.416	-6.7631
2.60.120.10	110.82	-83.323	-80.987	167.57	42.835	142.8	-41.568	-21.424	108.15	-16.073	31.292	-21.837	3.9673	33.804	33.45	-6.7837	-34.323	-14.11	-26.033	-36.173	-0.33404	13.795	25.453	36.761	10.073	-10.81	7.8812	-22.903	51.915	-13.342	-35.053
2.60.120.10	104.6	-84.991	-47.589	144.81	30.431	125.16	-62.151	-16.884	102.93	-13.09	21.242	-5.7658	6.6367	30.984	27.323	-13.239	-32.859	-20.476	-1.444	-23.273	6.8139	13.567	27.069	-0.65719	11.898	-3.4376	16.723	-17.326	9.2091	2.9595	-8.8113
