1.1	97.79	59.408	42.929	96.923	-7.7424	86.095	23.895	25.007	70.367	10.194	-10.395	24.182	-6.1254	15.478	-0.85352	1.7148	2.0686	4.4717	9.4443	4.3651	-4.6706	-6.7958	10.609	-10.87	3.2568	-3.0874	3.1349	-5.7782	2.6862	-1.034	0.24379
1.1	129.47	-31.924	-2.1044	97.495	-49.063	76.609	0.3239	10.901	51.807	17.378	-15.492	5.6837	12.872	-4.0085	12.946	0.23906	-2.7484	-8.2773	7.8929	-9.4121	3.1888	-6.4621	-2.8752	10.591	-20.659	10.166	-14.536	-0.112	21.284	0.13599	2.0864
1.1	103.96	2.1565	-27.282	94.896	-23.335	75.413	-28.73	-23.311	63.08	-21.538	-14.204	-15.146	-5.9645	4.8818	7.2171	4.6267	-1.9377	4.7367	18.612	10.695	5.2741	-9.1268	0.50461	1.8398	-14.785	-0.19533	5.9677	5.5945	12.407	-17.799	5.8658
1.1	107.9	66.168	34.605	90.206	-30.141	84.106	-7.9014	-13.264	57.449	-21.847	-24.152	-5.4688	-24.589	-16.212	21.301	13.272	-20.413	-0.49068	0.70967	-14.824	-23.721	17.421	31.32	-22.078	18.344	-10.371	6.7674	-10.221	-8.725	5.5094	6.125
1.1	99.229	-12.94	23.707	81.336	-24.148	65.066	23.5	31.253	63.815	16.81	-17.497	15.05	27.743	5.7969	-0.77002	11.067	-2.7378	-19.938	22.124	5.1339	2.31	13.589	5.9041	-12.747	-9.0354	20.402	-5.7823	6.2924	10.785	2.8801	-24.604
1.1	91.006	21.326	5.8866	77.388	-47.494	58.366	-44.175	-6.8445	34.842	-2.0798	-29.362	3.5208	-6.0295	-0.58082	-5.3186	-7.5578	5.0263	-2.5308	16.26	0.67647	0.63255	-2.9216	1.7863	-17.596	-0.38296	1.4972	4.6892	13.24	17.808	-4.8248	-13.442
1.1	113.23	-2.0093	-1.0906	76.588	-57.662	67.125	-13.591	-16.224	48.154	-11.747	-29.622	-10.758	-7.2944	2.6684	1.9868	2.3354	1.565	1.4096	13.709	-2.774	-3.0963	1.4357	-4.9653	2.5395	4.7494	0.88107	-4.2111	0.90066	-5.1264	-3.6559	0.27125
1.1	96.057	18.307	9.0769	50.223	-53.296	43.937	-8.4543	1.4835	32.557	-1.4085	-28.487	3.7621	-5.4348	0.16449	-4.4268	-4.3593	3.7573	1.2116	10.526	-1.6635	1.0962	-1.2213	3.098	-0.0043844	-0.85218	-2.3911	1.3945	1.7084	0.30814	-1.1039	0.27048
1.1	93.466	-62.102	-18.709	66.515	-42.115	67.514	-19.234	-26.377	35.484	-13.691	-29.105	2.472	-7.846	30.951	26.217	-6.6835	-21.769	-15.316	5.9185	-12.995	7.4314	0.9931	1.1115	19.945	7.1499	-3.8267	-14.029	3.6608	-0.48623	7.4956	-6.0861
1.1	95.295	19.47	8.0052	51.967	-52.891	45.091	-10.217	-2.7541	32.982	-4.82	-27.102	3.0276	-7.5225	1.321	-5.6351	-4.8951	5.8737	2.1319	10.182	-2.4824	1.5857	-3.2527	2.6768	-0.40979	-1.1616	-2.0447	2.2788	2.0355	0.17933	-0.92878	-0.0072798
