3.1	3.250908	2.657056	3.876507	3.17667	1.991226	3.585122	2.935003	2.238046
3.1	3.248709	2.646404	3.866465	3.153815	2.033424	3.556905	2.892095	2.220108
3.1	3.246499	2.665581	3.847326	3.119915	2.025306	3.550595	2.892651	2.283301
3.1	3.299289	2.665581	3.926805	3.253338	2.11059	3.615634	2.926342	2.214844
3.1	3.193403	2.607455	3.78533	3.043755	1.929419	3.469527	2.836957	2.152288
3.1	3.360025	2.706718	3.984797	3.31492	2.181844	3.65215	2.955207	2.176091
3.1	3.424718	2.832509	4.068371	3.373647	2.209515	3.767304	3.10721	2.474216
3.1	3.205746	2.562293	3.826399	3.16643	2.017033	3.508126	2.815578	2.064458
3.1	3.255514	2.61066	3.885192	3.23096	2.120574	3.531351	2.848805	2.103804
3.1	3.161667	2.572872	3.754119	3.024075	1.919078	3.452247	2.813581	2.146128
3.1	3.226342	2.619093	3.845718	3.140194	2.075547	3.532754	2.879096	2.146128
3.1	3.585461	2.941014	4.254814	3.558589	2.403121	3.925209	3.233757	2.501059
3.1	3.536937	2.889302	4.206934	3.519566	2.383815	3.877889	3.179839	2.434569
3.1	3.412461	2.850033	4.043559	3.275081	2.123852	3.756332	3.127429	2.515874
3.1	3.441066	2.843855	4.094052	3.374748	2.214844	3.795324	3.133539	2.459392
3.1	3.37236	2.822168	3.99096	3.294025	2.136721	3.69897	3.081707	2.472756
3.1	3.233504	2.608526	3.858056	3.155943	2.060698	3.52763	2.870404	2.120574
3.1	3.29048	2.62634	3.928857	3.256477	2.173186	3.60401	2.90309	2.123852
3.1	3.371437	2.765669	4.026901	3.338058	2.164353	3.729327	3.078094	2.367356
3.1	3.273001	2.634477	3.871398	3.197281	2.113943	3.544812	2.880814	2.139879
3.1	3.259116	2.638489	3.866169	3.18949	2.10721	3.555457	2.920123	2.173186
3.1	3.301464	2.68842	3.895367	3.181844	2.041393	3.578754	2.892651	2.230449
3.1	3.361539	2.741152	3.961563	3.265525	2.143015	3.653213	2.993436	2.269513
