3.30.390.10	1090	310	269	505	2798	774	155	81	90	620	772	599	124	71	23	466	78	389	530	64	50	1	17	976	326	322	128	180	16	16	137	162	240	212	942	43	116	16	512	148	40	232
3.30.390.10	1114	342	277	497	2952	853	163	118	107	698	812	645	121	93	5	471	66	448	608	106	51	5	19	1024	385	340	153	196	22	13	130	168	239	248	956	28	119	17	511	152	50	231
3.30.390.10	1308	429	374	564	3521	1045	176	195	225	950	1109	876	221	155	32	703	130	540	771	128	66	3	41	1191	441	399	241	318	34	34	171	190	293	309	1150	50	166	36	547	193	84	247
3.30.390.10	1662	551	554	720	4482	1332	329	205	278	1093	1452	1082	417	197	54	918	285	723	961	197	111	11	44	1405	518	481	347	309	36	57	264	272	505	417	1397	93	232	49	707	253	94	302
3.30.390.10	1625	533	527	695	4249	1298	308	211	247	1080	1428	991	400	190	64	927	295	719	960	189	103	13	39	1376	508	456	302	293	26	65	244	264	478	369	1414	100	206	39	657	261	82	289
3.30.390.10	1063	304	271	454	2780	766	124	121	129	670	846	564	124	112	8	462	121	383	592	66	63	5	24	946	341	301	112	138	11	13	106	128	222	197	856	24	105	15	477	125	35	210
3.30.390.10	1116	310	283	478	2945	781	101	152	123	673	895	596	111	91	9	482	83	492	673	86	53	4	23	1014	315	294	170	198	21	12	126	130	235	219	928	24	110	19	494	143	45	218
3.30.390.10	1317	419	332	542	3625	1040	223	188	188	902	1037	790	178	132	8	614	89	541	802	130	69	6	46	1191	429	386	153	239	26	11	126	157	251	285	1077	40	150	26	561	177	75	234
3.30.390.10	1000	316	262	441	2535	709	117	148	199	734	744	614	126	66	14	468	77	344	609	140	48	4	17	896	310	300	154	189	38	16	105	124	219	187	803	36	104	16	455	130	45	201
3.30.390.10	1112	331	281	509	2884	839	136	110	141	648	764	559	125	107	9	477	60	368	592	86	56	2	26	1017	322	306	139	201	23	11	133	166	225	219	986	36	149	27	494	179	49	226
3.30.390.10	1094	324	247	474	2859	746	134	144	120	707	791	545	98	68	10	447	52	358	636	75	22	0	36	1005	341	322	112	175	16	7	133	160	171	192	931	40	116	11	479	148	43	209
3.30.390.10	1173	358	331	485	3063	922	144	173	111	789	974	714	173	136	12	557	143	505	718	93	68	1	41	1028	400	339	174	182	15	26	157	162	279	212	972	48	139	17	496	169	54	201
3.30.390.10	1131	342	286	478	2927	909	147	143	97	783	871	655	124	89	7	468	88	445	610	85	57	2	17	1029	387	326	157	191	27	11	160	159	244	226	954	28	130	17	477	160	54	209
3.30.390.10	1295	429	378	554	3528	1076	214	210	204	984	1107	874	203	177	20	715	133	562	765	135	70	8	55	1198	432	406	242	301	31	23	164	195	273	305	1107	54	166	29	546	189	95	239
3.30.390.10	1252	386	306	512	3316	970	195	173	165	843	968	677	135	84	33	496	96	524	744	113	84	8	35	1111	417	360	139	217	21	14	135	183	216	224	1044	48	129	29	505	187	50	210
3.30.390.10	1173	349	277	477	3069	867	202	115	124	800	862	622	99	89	21	543	85	463	704	75	72	1	30	1034	364	320	130	187	19	11	119	171	199	212	962	33	107	18	495	161	46	201
3.30.390.10	1417	458	396	590	3924	1219	245	223	221	987	1285	975	226	184	29	747	130	684	912	155	88	5	53	1330	493	449	218	307	39	31	170	187	311	327	1188	51	174	43	621	208	92	258
3.30.390.10	1242	384	325	535	3231	898	200	198	172	752	924	730	185	117	17	617	94	455	662	92	62	3	34	1111	400	365	155	230	28	24	144	156	227	250	1033	49	135	30	533	179	54	230
3.30.390.10	1142	329	291	499	2888	790	151	109	104	727	784	627	119	97	19	529	93	432	626	75	68	1	29	981	318	310	132	170	19	22	115	135	229	217	908	45	107	29	514	126	52	226
